accountId,bank,accountType,country,openedDate,riskScore
A00001,Meridian Bank,CHECKING,CN,2021-08-15,0.02
A00002,Northgate Financial,CHECKING,IN,2023-03-22,0.24
A00003,Union Trust,CHECKING,IN,2019-10-24,0.2
A00004,Union Trust,CHECKING,AE,2023-07-10,0.29
A00005,Pacific Crest Bank,SAVINGS,AE,2022-02-04,0.12
A00006,Meridian Bank,CHECKING,UK,2018-06-20,0.04
A00007,Solstice Bank,CHECKING,UK,2023-03-14,0.1
A00008,Northgate Financial,CHECKING,NG,2020-05-05,0.0
A00009,Meridian Bank,SAVINGS,KY,2024-01-12,0.27
A00010,Northgate Financial,SAVINGS,UK,2018-04-16,0.08
A00011,Northgate Financial,SAVINGS,NG,2022-03-29,0.22
A00012,Meridian Bank,CHECKING,NG,2020-08-11,0.24
A00013,Union Trust,SAVINGS,NG,2024-11-20,0.03
A00014,Meridian Bank,CHECKING,CN,2019-08-04,0.12
A00015,Meridian Bank,SAVINGS,CN,2018-08-26,0.02
A00016,Northgate Financial,SAVINGS,KY,2024-05-29,0.06
A00017,Northgate Financial,SAVINGS,RU,2022-08-14,0.06
A00018,Pacific Crest Bank,CHECKING,RU,2019-10-10,0.26
A00019,Meridian Bank,CHECKING,US,2020-12-19,0.02
A00020,Pacific Crest Bank,SAVINGS,DE,2023-04-23,0.05
A00021,Northgate Financial,CHECKING,CH,2021-08-30,0.26
A00022,Union Trust,SAVINGS,AE,2024-06-27,0.0
A00023,Union Trust,SAVINGS,AE,2026-02-24,0.28
A00024,Northgate Financial,SAVINGS,CH,2023-11-29,0.21
A00025,Meridian Bank,CHECKING,CH,2023-02-20,0.06
A00026,Meridian Bank,CHECKING,KY,2019-05-22,0.22
A00027,Meridian Bank,CHECKING,CH,2023-03-11,0.15
A00028,Northgate Financial,CHECKING,CH,2022-09-29,0.29
A00029,Pacific Crest Bank,CHECKING,US,2017-06-26,0.18
A00030,Solstice Bank,CHECKING,NG,2026-01-26,0.28
A00031,Solstice Bank,SAVINGS,KY,2018-11-24,0.19
A00032,Union Trust,CHECKING,SG,2019-08-27,0.28
A00033,Union Trust,CHECKING,RU,2024-08-13,0.08
A00034,Meridian Bank,CHECKING,CH,2018-01-09,0.09
A00035,Meridian Bank,CHECKING,CH,2017-01-04,0.14
A00036,Union Trust,CHECKING,IN,2026-05-23,0.15
A00037,Union Trust,SAVINGS,CN,2022-08-30,0.26
A00038,Solstice Bank,SAVINGS,SG,2024-03-27,0.13
A00039,Meridian Bank,SAVINGS,AE,2021-02-07,0.2
A00040,Solstice Bank,CHECKING,KY,2025-05-31,0.08
A00041,Union Trust,CHECKING,CN,2022-04-22,0.08
A00042,Solstice Bank,SAVINGS,DE,2023-09-26,0.21
A00043,Meridian Bank,CHECKING,AE,2020-05-22,0.08
A00044,Meridian Bank,SAVINGS,AE,2020-07-18,0.19
A00045,Union Trust,CHECKING,IN,2018-01-10,0.1
A00046,Solstice Bank,SAVINGS,CN,2023-06-05,0.22
A00047,Solstice Bank,CHECKING,CN,2025-06-23,0.03
A00048,Pacific Crest Bank,CHECKING,IN,2025-02-26,0.25
A00049,Meridian Bank,SAVINGS,PA,2025-05-28,0.01
A00050,Meridian Bank,CHECKING,CN,2024-05-02,0.06
A00051,Solstice Bank,SAVINGS,AE,2018-09-27,0.23
A00052,Northgate Financial,CHECKING,US,2024-08-04,0.28
A00053,Northgate Financial,CHECKING,US,2023-07-06,0.26
A00054,Northgate Financial,SAVINGS,KY,2021-03-13,0.23
A00055,Pacific Crest Bank,CHECKING,AE,2022-02-15,0.05
A00056,Northgate Financial,CHECKING,RU,2025-09-22,0.26
A00057,Northgate Financial,CHECKING,CH,2017-10-06,0.1
A00058,Pacific Crest Bank,CHECKING,CH,2017-11-19,0.01
A00059,Union Trust,CHECKING,PA,2021-03-13,0.08
A00060,Solstice Bank,SAVINGS,CN,2021-11-11,0.19
A00061,Union Trust,CHECKING,SG,2022-02-20,0.28
A00062,Meridian Bank,SAVINGS,IN,2019-09-22,0.17
A00063,Union Trust,SAVINGS,SG,2024-02-07,0.18
A00064,Pacific Crest Bank,CHECKING,KY,2020-12-22,0.18
A00065,Union Trust,CHECKING,KY,2024-09-13,0.27
A00066,Solstice Bank,CHECKING,KY,2025-06-21,0.21
A00067,Union Trust,CHECKING,DE,2020-10-25,0.11
A00068,Union Trust,CHECKING,UK,2025-08-14,0.2
A00069,Pacific Crest Bank,SAVINGS,UK,2021-01-03,0.2
A00070,Pacific Crest Bank,CHECKING,DE,2018-02-21,0.17
A00071,Solstice Bank,CHECKING,KY,2025-03-02,0.2
A00072,Solstice Bank,SAVINGS,KY,2021-01-19,0.17
A00073,Pacific Crest Bank,CHECKING,KY,2024-01-26,0.09
A00074,Northgate Financial,SAVINGS,PA,2024-12-13,0.14
A00075,Northgate Financial,OFFSHORE,AE,2019-04-29,0.7
A00076,Union Trust,OFFSHORE,AE,2024-04-29,0.76
A00077,Solstice Bank,OFFSHORE,KY,2021-05-25,0.71
A00078,Northgate Financial,OFFSHORE,KY,2018-12-10,0.63
A00079,Northgate Financial,OFFSHORE,KY,2020-12-12,0.77
A00080,Northgate Financial,OFFSHORE,KY,2023-09-08,0.82
