ownerId,ownerType,accountId,companyId,role,ownershipPct
P0001,Person,A00001,,PRIMARY_HOLDER,100
P0002,Person,A00002,,PRIMARY_HOLDER,100
P0002,Person,A00003,,PRIMARY_HOLDER,100
P0003,Person,A00004,,PRIMARY_HOLDER,100
P0003,Person,A00005,,PRIMARY_HOLDER,100
P0004,Person,A00006,,PRIMARY_HOLDER,100
P0004,Person,A00007,,PRIMARY_HOLDER,100
P0005,Person,A00008,,PRIMARY_HOLDER,100
P0006,Person,A00009,,PRIMARY_HOLDER,100
P0007,Person,A00010,,PRIMARY_HOLDER,100
P0008,Person,A00011,,PRIMARY_HOLDER,100
P0009,Person,A00012,,PRIMARY_HOLDER,100
P0009,Person,A00013,,PRIMARY_HOLDER,100
P0010,Person,A00014,,PRIMARY_HOLDER,100
P0010,Person,A00015,,PRIMARY_HOLDER,100
P0011,Person,A00016,,PRIMARY_HOLDER,100
P0012,Person,A00017,,PRIMARY_HOLDER,100
P0012,Person,A00018,,PRIMARY_HOLDER,100
P0013,Person,A00019,,PRIMARY_HOLDER,100
P0014,Person,A00020,,PRIMARY_HOLDER,100
P0015,Person,A00021,,PRIMARY_HOLDER,100
P0016,Person,A00022,,PRIMARY_HOLDER,100
P0016,Person,A00023,,PRIMARY_HOLDER,100
P0017,Person,A00024,,PRIMARY_HOLDER,100
P0017,Person,A00025,,PRIMARY_HOLDER,100
P0018,Person,A00026,,PRIMARY_HOLDER,100
P0019,Person,A00027,,PRIMARY_HOLDER,100
P0019,Person,A00028,,PRIMARY_HOLDER,100
P0020,Person,A00029,,PRIMARY_HOLDER,100
P0021,Person,A00030,,PRIMARY_HOLDER,100
P0022,Person,A00031,,PRIMARY_HOLDER,100
P0023,Person,A00032,,PRIMARY_HOLDER,100
P0024,Person,A00033,,PRIMARY_HOLDER,100
P0025,Person,A00034,,PRIMARY_HOLDER,100
P0025,Person,A00035,,PRIMARY_HOLDER,100
P0026,Person,A00036,,PRIMARY_HOLDER,100
P0027,Person,A00037,,PRIMARY_HOLDER,100
P0028,Person,A00038,,PRIMARY_HOLDER,100
P0029,Person,A00039,,PRIMARY_HOLDER,100
P0030,Person,A00040,,PRIMARY_HOLDER,100
P0031,Person,A00041,,PRIMARY_HOLDER,100
P0032,Person,A00042,,PRIMARY_HOLDER,100
P0033,Person,A00043,,PRIMARY_HOLDER,100
P0033,Person,A00044,,PRIMARY_HOLDER,100
P0034,Person,A00045,,PRIMARY_HOLDER,100
P0035,Person,A00046,,PRIMARY_HOLDER,100
P0036,Person,A00047,,PRIMARY_HOLDER,100
P0037,Person,A00048,,PRIMARY_HOLDER,100
P0038,Person,A00049,,PRIMARY_HOLDER,100
P0039,Person,A00050,,PRIMARY_HOLDER,100
P0040,Person,A00051,,PRIMARY_HOLDER,100
P0041,Person,A00052,,PRIMARY_HOLDER,100
P0042,Person,A00053,,PRIMARY_HOLDER,100
P0043,Person,A00054,,PRIMARY_HOLDER,100
P0044,Person,A00055,,PRIMARY_HOLDER,100
P0045,Person,A00056,,PRIMARY_HOLDER,100
P0046,Person,A00057,,PRIMARY_HOLDER,100
P0046,Person,A00058,,PRIMARY_HOLDER,100
P0047,Person,A00059,,PRIMARY_HOLDER,100
P0048,Person,A00060,,PRIMARY_HOLDER,100
P0049,Person,A00061,,PRIMARY_HOLDER,100
P0050,Person,A00062,,PRIMARY_HOLDER,100
P0051,Person,A00063,,PRIMARY_HOLDER,100
P0052,Person,A00064,,PRIMARY_HOLDER,100
P0052,Person,A00065,,PRIMARY_HOLDER,100
P0053,Person,A00066,,PRIMARY_HOLDER,100
P0054,Person,A00067,,PRIMARY_HOLDER,100
P0055,Person,A00068,,PRIMARY_HOLDER,100
P0056,Person,A00069,,PRIMARY_HOLDER,100
P0057,Person,A00070,,PRIMARY_HOLDER,100
P0058,Person,A00071,,PRIMARY_HOLDER,100
P0058,Person,A00072,,PRIMARY_HOLDER,100
P0059,Person,A00073,,PRIMARY_HOLDER,100
P0060,Person,A00074,,PRIMARY_HOLDER,100
C0001,Company,A00075,,PRIMARY_HOLDER,100
C0001,Company,A00076,,PRIMARY_HOLDER,100
C0002,Company,A00077,,PRIMARY_HOLDER,100
C0002,Company,A00078,,PRIMARY_HOLDER,100
C0003,Company,A00079,,PRIMARY_HOLDER,100
C0003,Company,A00080,,PRIMARY_HOLDER,100
C0004,Company,A00081,,PRIMARY_HOLDER,100
C0004,Company,A00082,,PRIMARY_HOLDER,100
C0005,Company,A00083,,PRIMARY_HOLDER,100
C0005,Company,A00084,,PRIMARY_HOLDER,100
C0006,Company,A00085,,PRIMARY_HOLDER,100
C0006,Company,A00086,,PRIMARY_HOLDER,100
C0007,Company,A00087,,PRIMARY_HOLDER,100
C0007,Company,A00088,,PRIMARY_HOLDER,100
C0008,Company,A00089,,PRIMARY_HOLDER,100
C0008,Company,A00090,,PRIMARY_HOLDER,100
C0009,Company,A00091,,PRIMARY_HOLDER,100
C0010,Company,A00092,,PRIMARY_HOLDER,100
C0011,Company,A00093,,PRIMARY_HOLDER,100
C0011,Company,A00094,,PRIMARY_HOLDER,100
C0012,Company,A00095,,PRIMARY_HOLDER,100
C0012,Company,A00096,,PRIMARY_HOLDER,100
C0013,Company,A00097,,PRIMARY_HOLDER,100
C0014,Company,A00098,,PRIMARY_HOLDER,100
C0015,Company,A00099,,PRIMARY_HOLDER,100
