transactionId,sourceAccount,targetAccount,amount,currency,timestamp,transactionType,channel,isSuspicious,pattern
T000001,A00040,A00072,1519.18,USD,2025-06-18T22:53:00,TRANSFER,MOBILE,False,NORMAL
T000002,A00102,A00018,962.21,USD,2025-09-10T17:36:00,TRANSFER,BRANCH,False,NORMAL
T000003,A00037,A00090,3441.23,USD,2025-02-06T08:50:00,ACH,ONLINE,False,NORMAL
T000004,A00045,A00070,21791.48,USD,2025-01-05T10:00:00,WIRE,ONLINE,True,PASS_THROUGH
T000005,A00064,A00037,2657.08,USD,2025-07-25T14:05:00,ACH,ONLINE,False,NORMAL
T000006,A00081,A00024,3249.76,USD,2025-02-02T01:18:00,ACH,BRANCH,False,NORMAL
T000007,A00098,A00040,3687.72,USD,2025-06-29T04:36:00,TRANSFER,ONLINE,False,NORMAL
T000008,A00083,A00072,124.49,USD,2025-05-17T08:44:00,TRANSFER,ONLINE,False,NORMAL
T000009,A00013,A00068,3678.23,USD,2025-04-28T18:30:00,TRANSFER,MOBILE,False,NORMAL
T000010,A00059,A00033,2674.03,USD,2025-08-27T17:10:00,PAYMENT,MOBILE,False,NORMAL
T000011,A00013,A00105,9521.94,USD,2025-06-28T07:03:00,DEPOSIT,BRANCH,True,STRUCTURING
T000012,A00080,A00082,140.54,USD,2025-10-07T09:30:00,PAYMENT,MOBILE,False,NORMAL
T000013,A00057,A00068,2100.54,USD,2025-03-23T09:24:00,PAYMENT,BRANCH,False,NORMAL
T000014,A00044,A00092,355.63,USD,2025-03-30T22:28:00,TRANSFER,ONLINE,False,NORMAL
T000015,A00021,A00035,1808.29,USD,2025-09-20T02:58:00,TRANSFER,BRANCH,False,NORMAL
T000016,A00057,A00031,3424.69,USD,2025-02-20T17:57:00,ACH,BRANCH,False,NORMAL
T000017,A00077,A00101,1311.23,USD,2025-07-17T13:24:00,TRANSFER,BRANCH,False,NORMAL
T000018,A00088,A00075,2649.47,USD,2025-02-13T07:45:00,ACH,BRANCH,False,NORMAL
T000019,A00088,A00067,1391.17,USD,2025-10-10T05:49:00,ACH,MOBILE,False,NORMAL
T000020,A00011,A00015,3328.64,USD,2025-03-14T10:29:00,PAYMENT,BRANCH,False,NORMAL
T000021,A00090,A00075,49563.64,USD,2025-01-18T14:32:00,WIRE,ONLINE,True,LAYERING_RING
T000022,A00050,A00041,1455.59,USD,2025-02-16T14:23:00,TRANSFER,BRANCH,False,NORMAL
T000023,A00025,A00077,2042.8,USD,2025-03-11T13:21:00,TRANSFER,BRANCH,False,NORMAL
T000024,A00073,A00015,265.8,USD,2025-10-08T18:34:00,ACH,ONLINE,False,NORMAL
T000025,A00074,A00002,1060.98,USD,2025-07-04T01:42:00,ACH,ONLINE,False,NORMAL
T000026,A00086,A00011,2103.47,USD,2025-07-04T17:32:00,TRANSFER,MOBILE,False,NORMAL
T000027,A00105,A00094,2312.92,USD,2025-10-23T10:15:00,ACH,MOBILE,False,NORMAL
T000028,A00083,A00020,3635.48,USD,2025-03-14T05:50:00,TRANSFER,ONLINE,False,NORMAL
T000029,A00099,A00079,3820.34,USD,2025-07-23T20:17:00,PAYMENT,ONLINE,False,NORMAL
T000030,A00057,A00098,326.0,USD,2025-03-12T12:20:00,ACH,BRANCH,False,NORMAL
T000031,A00011,A00014,3080.44,USD,2025-07-01T19:02:00,TRANSFER,MOBILE,False,NORMAL
T000032,A00098,A00036,2304.92,USD,2025-08-08T19:43:00,ACH,MOBILE,False,NORMAL
T000033,A00099,A00003,977.85,USD,2025-02-04T01:28:00,TRANSFER,MOBILE,False,NORMAL
T000034,A00057,A00039,3443.46,USD,2025-08-08T19:03:00,PAYMENT,MOBILE,False,NORMAL
T000035,A00100,A00073,2392.97,USD,2025-01-27T19:03:00,TRANSFER,ONLINE,False,NORMAL
T000036,A00018,A00067,845.22,USD,2025-06-16T16:24:00,ACH,BRANCH,False,NORMAL
T000037,A00022,A00021,1304.19,USD,2025-04-26T09:54:00,PAYMENT,MOBILE,False,NORMAL
T000038,A00054,A00072,2129.37,USD,2025-07-18T06:21:00,TRANSFER,BRANCH,False,NORMAL
T000039,A00026,A00058,2376.97,USD,2025-07-19T06:13:00,TRANSFER,MOBILE,False,NORMAL
T000040,A00058,A00077,1927.35,USD,2025-07-25T22:26:00,ACH,MOBILE,False,NORMAL
T000041,A00094,A00067,3862.59,USD,2025-05-19T15:29:00,ACH,MOBILE,False,NORMAL
T000042,A00090,A00058,1289.26,USD,2025-06-03T03:01:00,TRANSFER,MOBILE,False,NORMAL
T000043,A00064,A00005,522.46,USD,2025-06-19T03:33:00,TRANSFER,BRANCH,False,NORMAL
T000044,A00048,A00060,3218.57,USD,2025-10-10T02:04:00,TRANSFER,MOBILE,False,NORMAL
T000045,A00082,A00041,2395.94,USD,2025-07-20T11:22:00,ACH,ONLINE,False,NORMAL
T000046,A00069,A00084,1449.85,USD,2025-05-14T15:29:00,PAYMENT,MOBILE,False,NORMAL
T000047,A00062,A00010,931.21,USD,2025-02-15T03:20:00,ACH,ONLINE,False,NORMAL
T000048,A00083,A00033,2880.02,USD,2025-01-08T09:36:00,ACH,BRANCH,False,NORMAL
T000049,A00034,A00050,957.37,USD,2025-05-17T18:46:00,PAYMENT,BRANCH,False,NORMAL
T000050,A00059,A00080,706.66,USD,2025-06-02T02:43:00,ACH,MOBILE,False,NORMAL
T000051,A00092,A00015,3115.61,USD,2025-03-25T18:01:00,PAYMENT,ONLINE,False,NORMAL
T000052,A00088,A00014,1971.27,USD,2025-08-16T10:38:00,TRANSFER,ONLINE,False,NORMAL
T000053,A00096,A00095,2193.61,USD,2025-04-23T08:27:00,PAYMENT,ONLINE,False,NORMAL
T000054,A00016,A00074,2712.96,USD,2025-07-14T04:18:00,PAYMENT,BRANCH,False,NORMAL
T000055,A00033,A00032,2889.18,USD,2025-09-11T06:29:00,ACH,MOBILE,False,NORMAL
T000056,A00018,A00024,1272.03,USD,2025-08-19T11:00:00,ACH,ONLINE,False,NORMAL
T000057,A00102,A00024,696.53,USD,2025-02-10T19:43:00,ACH,BRANCH,False,NORMAL
T000058,A00088,A00085,3500.72,USD,2025-03-10T03:11:00,ACH,BRANCH,False,NORMAL
T000059,A00081,A00096,622.47,USD,2025-07-30T14:55:00,ACH,MOBILE,False,NORMAL
T000060,A00101,A00057,158.5,USD,2025-02-04T11:23:00,TRANSFER,MOBILE,False,NORMAL
T000061,A00011,A00033,801.28,USD,2025-10-10T20:19:00,PAYMENT,ONLINE,False,NORMAL
T000062,A00035,A00058,1006.72,USD,2025-02-19T12:55:00,TRANSFER,BRANCH,False,NORMAL
T000063,A00065,A00010,1255.42,USD,2025-08-20T11:53:00,TRANSFER,ONLINE,False,NORMAL
T000064,A00054,A00048,3971.57,USD,2025-07-15T12:05:00,PAYMENT,BRANCH,False,NORMAL
T000065,A00035,A00006,3698.15,USD,2025-05-24T21:02:00,ACH,MOBILE,False,NORMAL
T000066,A00105,A00070,1904.13,USD,2025-01-19T09:22:00,ACH,ONLINE,False,NORMAL
T000067,A00020,A00021,739.77,USD,2025-03-26T01:26:00,ACH,BRANCH,False,NORMAL
T000068,A00038,A00107,2777.48,USD,2025-07-29T04:40:00,ACH,BRANCH,False,NORMAL
T000069,A00041,A00033,1306.63,USD,2025-07-26T21:55:00,ACH,ONLINE,False,NORMAL
T000070,A00045,A00091,278.46,USD,2025-10-05T05:45:00,PAYMENT,BRANCH,False,NORMAL
T000071,A00087,A00066,10015.23,USD,2025-07-06T07:20:00,WIRE,ONLINE,True,FAN_OUT
T000072,A00082,A00097,1973.7,USD,2025-01-07T15:30:00,ACH,BRANCH,False,NORMAL
T000073,A00020,A00045,3990.86,USD,2025-09-05T13:58:00,TRANSFER,BRANCH,False,NORMAL
T000074,A00087,A00030,9490.78,USD,2025-07-06T01:35:00,WIRE,ONLINE,True,FAN_OUT
T000075,A00014,A00032,1753.99,USD,2025-07-25T12:55:00,ACH,ONLINE,False,NORMAL
T000076,A00022,A00103,3791.5,USD,2025-08-24T02:27:00,ACH,BRANCH,False,NORMAL
T000077,A00052,A00091,2567.76,USD,2025-05-29T00:20:00,TRANSFER,BRANCH,False,NORMAL
T000078,A00063,A00018,796.61,USD,2025-07-16T20:31:00,ACH,MOBILE,False,NORMAL
T000079,A00045,A00055,3986.59,USD,2025-10-09T22:29:00,PAYMENT,BRANCH,False,NORMAL
T000080,A00029,A00105,1815.49,USD,2025-06-28T01:25:00,TRANSFER,BRANCH,False,NORMAL
T000081,A00040,A00096,1371.26,USD,2025-06-20T16:40:00,TRANSFER,ONLINE,False,NORMAL
T000082,A00050,A00073,148.89,USD,2025-03-20T11:23:00,ACH,BRANCH,False,NORMAL
T000083,A00084,A00017,2811.68,USD,2025-03-09T22:20:00,TRANSFER,ONLINE,False,NORMAL
